variant,length_penalty_alpha,prompt_index,prompt_preview,steps_total,finished_pool_size,words_scored,kvl_beam_running_mean,response_time_seconds,response_chars,hit_max_tokens,response_preview
baseline,0.0,0,What does the word 'library' mean?,200,0,34,3.2093205882352946,70.4,735,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
baseline,0.0,1,How do I introduce myself in English?,200,0,66,2.8295257575757566,71.8,571,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
always_stop,0.0,0,What does the word 'library' mean?,200,4782,34,3.2093205882352946,71.8,735,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
always_stop,0.0,1,How do I introduce myself in English?,200,4782,66,2.8295257575757566,106.5,571,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
length_penalty,0.15,0,What does the word 'library' mean?,200,0,34,3.2093205882352946,112.5,735,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
length_penalty,0.15,1,How do I introduce myself in English?,200,0,66,2.8295257575757566,101.6,571,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
prefer_finished,0.0,0,What does the word 'library' mean?,200,0,34,3.2093205882352946,93.3,735,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
prefer_finished,0.0,1,How do I introduce myself in English?,200,0,66,2.8295257575757566,90.9,571,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
stop_pref,0.0,0,What does the word 'library' mean?,200,4782,34,3.2093205882352946,79.4,599,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
stop_pref,0.0,1,How do I introduce myself in English?,200,4782,66,2.8295257575757566,77.3,568,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
max80,0.0,0,What does the word 'library' mean?,80,0,23,3.06284347826087,32.7,318,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
max80,0.0,1,How do I introduce myself in English?,80,0,35,2.5288828571428565,33.8,282,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
stop_length,0.15,0,What does the word 'library' mean?,200,4782,30,3.174243333333334,75.8,480,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
stop_length,0.15,1,How do I introduce myself in English?,200,4782,66,2.8295257575757566,76.9,568,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
stop_length,0.25,0,What does the word 'library' mean?,200,4782,14,3.0134714285714286,75.0,173,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| <|imend"
stop_length,0.25,1,How do I introduce myself in English?,200,4782,50,2.7552859999999995,76.9,409,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
stop_length,0.35,0,What does the word 'library' mean?,200,4782,7,2.7390714285714286,75.6,68,True,thought I think the word library means a building where people learn
stop_length,0.35,1,How do I introduce myself in English?,200,4782,21,2.5256047619047615,76.7,197,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name"
stop_length,0.5,0,What does the word 'library' mean?,200,4782,7,2.7390714285714286,76.1,68,True,thought I think the word library means a building where people learn
stop_length,0.5,1,How do I introduce myself in English?,200,4782,17,2.4599705882352936,77.3,166,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name"
stop_length,0.75,0,What does the word 'library' mean?,200,4782,5,2.6117999999999997,75.7,49,True,thought I think the word library means a building
stop_length,0.75,1,How do I introduce myself in English?,200,4782,9,1.9976666666666665,76.9,79,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old"
stop_length,1.0,0,What does the word 'library' mean?,200,4782,4,2.423025,75.4,32,True,thought I think the word library
stop_length,1.0,1,How do I introduce myself in English?,200,4782,7,1.7212571428571428,76.7,53,True,"super easy, right? Just say, ""Hello, my name is [name"
stop_length,1.5,0,What does the word 'library' mean?,200,4782,4,2.423025,75.2,32,True,thought I think the word library
stop_length,1.5,1,How do I introduce myself in English?,200,4782,3,0.5134333333333333,76.7,17,True,"super easy, right"
length_penalty,0.5,0,What does the word 'library' mean?,200,0,34,3.2093205882352946,74.1,735,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
length_penalty,0.5,1,How do I introduce myself in English?,200,0,66,2.8295257575757566,72.1,571,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
length_penalty,1.0,0,What does the word 'library' mean?,200,0,34,3.2093205882352946,72.3,735,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
length_penalty,1.0,1,How do I introduce myself in English?,200,0,66,2.8295257575757566,73.0,571,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
length_penalty,1.5,0,What does the word 'library' mean?,200,0,34,3.2093205882352946,71.4,735,True,"thought I think the word library means a building where people learn and read books. So, the word library means a building where people learn and read books. |imend| The Simplest Answer A library is a"
length_penalty,1.5,1,How do I introduce myself in English?,200,0,66,2.8295257575757566,74.0,571,True,"super easy, right? Just say, ""Hello, my name is [name] and I am [age] years old."" That's all! [name] is my name. [age] is how old I am. [name] is my name again. [name] again is my name again. [name] a"
